budget_C,multiplicative_rounds,linear_rounds,logarithmic_rounds,source
207.30721632,20,19,63,paper_fig5_formula_generalized_inverse
213.37994803,20,20,64,paper_fig5_formula_generalized_inverse
219.63057065,20,20,66,paper_fig5_formula_generalized_inverse
226.06429521,21,20,67,paper_fig5_formula_generalized_inverse
232.68648540,21,21,69,paper_fig5_formula_generalized_inverse
239.50266200,21,21,71,paper_fig5_formula_generalized_inverse
246.51850754,21,21,72,paper_fig5_formula_generalized_inverse
253.73987100,21,22,74,paper_fig5_formula_generalized_inverse
261.17277269,21,22,76,paper_fig5_formula_generalized_inverse
268.82340930,21,22,77,paper_fig5_formula_generalized_inverse
276.69815900,22,23,79,paper_fig5_formula_generalized_inverse
284.80358684,22,23,81,paper_fig5_formula_generalized_inverse
293.14645017,22,23,83,paper_fig5_formula_generalized_inverse
301.73370426,22,24,85,paper_fig5_formula_generalized_inverse
310.57250816,22,24,87,paper_fig5_formula_generalized_inverse
319.67023062,22,24,89,paper_fig5_formula_generalized_inverse
329.03445623,23,25,91,paper_fig5_formula_generalized_inverse
338.67299178,23,25,93,paper_fig5_formula_generalized_inverse
348.59387274,23,25,95,paper_fig5_formula_generalized_inverse
358.80536996,23,26,97,paper_fig5_formula_generalized_inverse
369.31599658,23,26,100,paper_fig5_formula_generalized_inverse
380.13451511,23,27,102,paper_fig5_formula_generalized_inverse
391.26994476,23,27,104,paper_fig5_formula_generalized_inverse
402.73156892,24,27,107,paper_fig5_formula_generalized_inverse
414.52894293,24,28,109,paper_fig5_formula_generalized_inverse
426.67190206,24,28,112,paper_fig5_formula_generalized_inverse
439.17056966,24,29,115,paper_fig5_formula_generalized_inverse
452.03536564,24,29,117,paper_fig5_formula_generalized_inverse
465.27701513,24,30,120,paper_fig5_formula_generalized_inverse
478.90655747,25,30,123,paper_fig5_formula_generalized_inverse
492.93535534,25,30,126,paper_fig5_formula_generalized_inverse
507.37510430,25,31,129,paper_fig5_formula_generalized_inverse
522.23784250,25,31,132,paper_fig5_formula_generalized_inverse
537.53596072,25,32,135,paper_fig5_formula_generalized_inverse
553.28221273,25,32,138,paper_fig5_formula_generalized_inverse
569.48972589,26,33,141,paper_fig5_formula_generalized_inverse
586.17201209,26,33,145,paper_fig5_formula_generalized_inverse
603.34297905,26,34,148,paper_fig5_formula_generalized_inverse
621.01694189,26,34,152,paper_fig5_formula_generalized_inverse
639.20863507,26,35,155,paper_fig5_formula_generalized_inverse
657.93322466,26,35,159,paper_fig5_formula_generalized_inverse
677.20632100,26,36,163,paper_fig5_formula_generalized_inverse
697.04399173,27,36,167,paper_fig5_formula_generalized_inverse
